customer_id,first_name,last_name,email,join_date,region,segment
1,Angel,Hill,user1@example.com,2021-10-23,North,Consumer
2,Donald,Garcia,user2@example.com,2022-10-06,East,Consumer
3,Christopher,Henderson,user3@example.com,2025-07-03,South,Consumer
4,Clayton,Hall,user4@example.com,2021-02-12,North,Consumer
5,Anna,Baldwin,user5@example.com,2021-02-02,North,Consumer
6,Robert,Cole,user6@example.com,2025-07-02,South,Consumer
7,Lisa,Smith,user7@example.com,2023-03-26,North,Consumer
8,Helen,Peterson,user8@example.com,2022-03-23,West,Consumer
9,Jason,Gallagher,user9@example.com,2022-03-10,East,Small Business
10,Christopher,Davis,user10@example.com,2021-09-25,North,Small Business
11,Cassandra,Roman,user11@example.com,2023-10-16,South,Consumer
12,Amanda,Dudley,user12@example.com,2024-10-09,East,Consumer
13,Christian,Carter,user13@example.com,2024-02-01,South,Enterprise
14,Barbara,Bush,user14@example.com,2023-12-10,East,Consumer
15,Donna,Mejia,user15@example.com,2021-04-03,West,Consumer
16,Melissa,Delacruz,user16@example.com,2021-07-17,East,Consumer
17,Joshua,Reid,user17@example.com,2024-02-06,North,Consumer
18,Francisco,Kelly,user18@example.com,2023-12-20,North,Enterprise
19,Jacqueline,Sutton,user19@example.com,2023-02-19,West,Consumer
20,Chelsea,Jackson,user20@example.com,2021-06-21,East,Small Business
21,Frank,Gray,user21@example.com,2022-12-12,East,Consumer
22,Jeffrey,Nguyen,user22@example.com,2025-08-08,North,Consumer
23,Jeremy,Johnson,user23@example.com,2021-05-04,South,Small Business
24,Richard,Jones,user24@example.com,2023-07-20,North,Small Business
25,Nancy,Edwards,user25@example.com,2025-09-09,North,Consumer
26,Randall,Rocha,user26@example.com,2025-02-10,West,Consumer
27,Douglas,Taylor,user27@example.com,2024-10-07,East,Consumer
28,Amber,Burgess,user28@example.com,2025-08-22,East,Consumer
29,Rachael,Ross,user29@example.com,2024-07-05,East,Consumer
30,Wendy,Taylor,user30@example.com,2022-09-24,North,Consumer
31,Christopher,Williams,user31@example.com,2025-01-23,South,Consumer
32,Eric,Moore,user32@example.com,2021-10-18,South,Consumer
33,Candace,Cruz,user33@example.com,2024-06-15,West,Consumer
34,Allison,Maddox,user34@example.com,2024-11-05,South,Consumer
35,Erin,Wilson,user35@example.com,2020-12-17,North,Consumer
36,Karen,Mack,user36@example.com,2025-06-07,North,Small Business
37,Daniel,Graham,user37@example.com,2023-10-04,West,Consumer
38,Aaron,Bowen,user38@example.com,2024-09-21,South,Small Business
39,Teresa,Gill,user39@example.com,2023-02-08,East,Consumer
40,Rita,Harrell,user40@example.com,2025-03-08,West,Consumer
41,Meagan,Romero,user41@example.com,2023-05-28,West,Consumer
42,Eric,Farmer,user42@example.com,2022-07-22,South,Consumer
43,Stephanie,Nielsen,user43@example.com,2025-06-14,East,Consumer
44,Carol,Burns,user44@example.com,2020-11-13,West,Small Business
45,Sarah,Koch,user45@example.com,2021-10-25,West,Consumer
46,John,Allen,user46@example.com,2023-06-25,South,Consumer
47,Stacey,Miller,user47@example.com,2025-09-09,North,Small Business
48,Lisa,Spence,user48@example.com,2024-12-30,North,Consumer
49,Katie,Anderson,user49@example.com,2025-05-25,South,Small Business
50,Stacey,Martin,user50@example.com,2024-11-27,West,Consumer
51,Monique,Henderson,user51@example.com,2025-05-09,West,Consumer
52,Sarah,Campos,user52@example.com,2022-09-01,West,Consumer
53,Jennifer,Ross,user53@example.com,2022-07-29,North,Consumer
54,Samuel,Holmes,user54@example.com,2024-01-16,North,Consumer
55,John,Brown,user55@example.com,2021-11-22,East,Small Business
56,Brianna,Hall,user56@example.com,2021-01-16,East,Consumer
57,Adrian,Zimmerman,user57@example.com,2022-09-27,West,Consumer
58,Jeremy,Whitehead,user58@example.com,2021-05-13,North,Enterprise
59,Chad,Young,user59@example.com,2023-09-04,East,Enterprise
60,Jason,Anderson,user60@example.com,2024-12-29,South,Consumer
61,Barbara,Sanchez,user61@example.com,2025-09-21,North,Small Business
62,Lindsey,Lee,user62@example.com,2024-11-20,East,Small Business
63,Donna,Gomez,user63@example.com,2021-09-09,South,Consumer
64,Stuart,Daniel,user64@example.com,2024-05-12,South,Consumer
65,Bruce,Chandler,user65@example.com,2021-09-13,North,Consumer
66,John,Lee,user66@example.com,2021-10-17,West,Consumer
67,Donald,White,user67@example.com,2024-09-05,East,Small Business
68,John,Leblanc,user68@example.com,2024-10-19,East,Consumer
69,Lindsey,Chase,user69@example.com,2024-08-19,South,Small Business
70,Brent,Kidd,user70@example.com,2021-09-12,North,Consumer
71,Tanya,House,user71@example.com,2020-12-27,West,Small Business
72,Gabriel,Tucker,user72@example.com,2022-11-16,South,Consumer
73,Michelle,Barrera,user73@example.com,2022-09-07,West,Small Business
74,Nicholas,Galloway,user74@example.com,2022-04-07,South,Consumer
75,Sara,Glover,user75@example.com,2023-02-13,West,Enterprise
76,Rodney,Bernard,user76@example.com,2023-04-17,South,Consumer
77,Dorothy,Tucker,user77@example.com,2025-08-04,West,Enterprise
78,Kenneth,Novak,user78@example.com,2022-06-24,East,Consumer
79,Jill,Brown,user79@example.com,2025-10-16,West,Consumer
80,Brian,Silva,user80@example.com,2023-07-14,South,Consumer
81,Samantha,Schmidt,user81@example.com,2025-02-21,North,Consumer
82,Susan,Miller,user82@example.com,2021-05-07,South,Consumer
83,Casey,Jones,user83@example.com,2022-06-12,North,Consumer
84,Richard,David,user84@example.com,2022-11-12,North,Consumer
85,John,Wheeler,user85@example.com,2025-09-16,North,Small Business
86,Robert,Silva,user86@example.com,2021-07-24,North,Consumer
87,Leslie,Green,user87@example.com,2025-04-24,East,Consumer
88,John,Foster,user88@example.com,2023-07-16,South,Consumer
89,Stephen,Hickman,user89@example.com,2023-06-02,West,Consumer
90,Albert,Howell,user90@example.com,2021-06-25,West,Small Business
91,Wendy,Jones,user91@example.com,2025-08-27,South,Consumer
92,William,Anderson,user92@example.com,2022-09-05,West,Consumer
93,Nicole,Suarez,user93@example.com,2023-11-01,West,Consumer
94,Justin,Kim,user94@example.com,2024-01-04,North,Consumer
95,Jade,Carr,user95@example.com,2025-06-26,North,Consumer
96,Alan,Montoya,user96@example.com,2025-05-13,East,Small Business
97,Sarah,Garcia,user97@example.com,2023-05-31,North,Consumer
98,Joseph,Preston,user98@example.com,2022-01-03,South,Consumer
99,Eric,Campbell,user99@example.com,2025-07-27,South,Consumer
100,Jennifer,Harris,user100@example.com,2022-08-28,East,Consumer
101,William,King,user101@example.com,2023-02-10,North,Consumer
102,Christopher,Henderson,user102@example.com,2021-04-18,North,Consumer
103,Bradley,Cook,user103@example.com,2023-03-21,North,Enterprise
104,Dana,Green,user104@example.com,2021-12-23,South,Consumer
105,Andrea,Patterson,user105@example.com,2024-08-15,West,Consumer
106,Daniel,Landry,user106@example.com,2020-12-12,West,Small Business
107,Amy,Davenport,user107@example.com,2022-02-18,South,Consumer
108,Angela,Jordan,user108@example.com,2025-10-26,West,Consumer
109,Kyle,Nolan,user109@example.com,2021-03-21,West,Consumer
110,Rachel,Clark,user110@example.com,2021-03-15,West,Consumer
111,Elizabeth,Gomez,user111@example.com,2022-12-27,East,Consumer
112,Nicole,Russell,user112@example.com,2025-08-17,North,Consumer
113,Sara,Young,user113@example.com,2022-03-07,North,Consumer
114,Theresa,Cochran,user114@example.com,2022-03-31,North,Consumer
115,Angel,Doyle,user115@example.com,2024-05-15,West,Consumer
116,Kimberly,Jenkins,user116@example.com,2023-09-10,South,Consumer
117,Joseph,Cobb,user117@example.com,2022-12-23,North,Small Business
118,Patrick,Williams,user118@example.com,2021-10-13,North,Consumer
119,Jeffrey,Velasquez,user119@example.com,2024-11-13,South,Consumer
120,Michael,Hoover,user120@example.com,2024-10-12,South,Consumer
121,Jeffrey,Keller,user121@example.com,2022-10-20,North,Consumer
122,Mark,Lin,user122@example.com,2024-04-02,West,Consumer
123,Michael,Hicks,user123@example.com,2023-03-29,East,Small Business
124,Mark,Johnson,user124@example.com,2025-06-04,South,Consumer
125,Gregory,Estes,user125@example.com,2023-02-01,East,Consumer
126,Benjamin,Carlson,user126@example.com,2023-02-14,West,Consumer
127,Jessica,Edwards,user127@example.com,2023-10-22,East,Consumer
128,Darrell,Lam,user128@example.com,2025-03-19,North,Consumer
129,Jonathan,Fletcher,user129@example.com,2022-06-25,North,Consumer
130,April,Drake,user130@example.com,2020-11-17,South,Consumer
131,Michael,Jones,user131@example.com,2022-07-17,South,Small Business
132,Cindy,Alvarado,user132@example.com,2023-09-03,North,Small Business
133,Jennifer,Evans,user133@example.com,2021-12-04,East,Consumer
134,Elizabeth,Nguyen,user134@example.com,2023-06-30,West,Small Business
135,Angela,Lee,user135@example.com,2023-05-19,East,Consumer
136,Erica,Orr,user136@example.com,2024-02-02,North,Consumer
137,Kevin,Kelley,user137@example.com,2025-09-15,East,Small Business
138,Kevin,Clark,user138@example.com,2020-11-13,North,Small Business
139,Catherine,Morris,user139@example.com,2025-10-18,South,Consumer
140,Scott,Lewis,user140@example.com,2024-08-15,North,Consumer
141,Laura,Moyer,user141@example.com,2024-11-21,South,Consumer
142,Donna,Campbell,user142@example.com,2022-04-23,South,Consumer
143,Clarence,Crane,user143@example.com,2023-09-19,South,Consumer
144,Emily,Walker,user144@example.com,2022-11-11,East,Consumer
145,Dylan,Williams,user145@example.com,2022-07-23,East,Small Business
146,Cheryl,Mack,user146@example.com,2024-11-27,North,Consumer
147,Robert,Soto,user147@example.com,2024-09-26,West,Small Business
148,Jennifer,Cruz,user148@example.com,2022-07-09,North,Consumer
149,John,Douglas,user149@example.com,2024-04-06,South,Consumer
150,Patricia,Dalton,user150@example.com,2020-11-29,East,Consumer
151,Kimberly,Robinson,user151@example.com,2021-10-09,West,Consumer
152,Steven,Grant,user152@example.com,2025-04-09,West,Consumer
153,Stephen,Solis,user153@example.com,2021-11-24,North,Consumer
154,Vanessa,Larson,user154@example.com,2025-05-20,South,Consumer
155,Cheyenne,Ball,user155@example.com,2024-08-18,East,Consumer
156,Ronald,Meadows,user156@example.com,2025-02-27,South,Consumer
157,Phyllis,Manning,user157@example.com,2024-08-28,North,Consumer
158,Shannon,Walton,user158@example.com,2024-11-25,North,Small Business
159,Katie,Boyd,user159@example.com,2023-03-23,South,Consumer
160,Joshua,Jones,user160@example.com,2022-11-25,North,Consumer
161,Jimmy,Rogers,user161@example.com,2023-04-18,West,Enterprise
162,Christopher,Hernandez,user162@example.com,2025-06-17,South,Small Business
163,Heather,Mccarthy,user163@example.com,2024-02-15,South,Small Business
164,Robert,Rivera,user164@example.com,2021-05-30,South,Small Business
165,Robert,Clark,user165@example.com,2024-10-29,North,Consumer
166,Perry,Carrillo,user166@example.com,2024-06-09,East,Small Business
167,Melissa,Cannon,user167@example.com,2021-01-11,West,Small Business
168,Thomas,Bender,user168@example.com,2024-02-06,South,Consumer
169,Karen,Castaneda,user169@example.com,2023-05-28,North,Consumer
170,Amanda,Navarro,user170@example.com,2024-06-05,North,Small Business
171,Tracy,Nelson,user171@example.com,2022-09-28,South,Consumer
172,Anthony,Rogers,user172@example.com,2024-12-29,West,Consumer
173,Jennifer,Pittman,user173@example.com,2024-04-21,South,Consumer
174,Tina,Ferguson,user174@example.com,2021-12-13,South,Consumer
175,Brittany,Alvarado,user175@example.com,2024-03-20,East,Small Business
176,Dawn,Taylor,user176@example.com,2021-07-30,East,Consumer
177,Hunter,Green,user177@example.com,2024-10-16,West,Consumer
178,Jason,Murphy,user178@example.com,2023-08-26,East,Small Business
179,Joshua,Bean,user179@example.com,2024-02-02,North,Small Business
180,Johnny,Miller,user180@example.com,2024-06-13,East,Consumer
181,Kaitlyn,Williams,user181@example.com,2021-01-11,East,Consumer
182,Jeffrey,Jones,user182@example.com,2023-11-04,West,Consumer
183,Karen,Herring,user183@example.com,2021-03-17,East,Consumer
184,Mary,Howell,user184@example.com,2022-07-24,North,Consumer
185,David,Caldwell,user185@example.com,2022-11-23,South,Consumer
